contest_id,candidate_name,candidate_party,sheet_number,election_year,election_month,candidate_id
2112016,DONALD J. TRUMP ,REP,2,2016,11,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
2112016,HILLARY CLINTON ,DEM,2,2016,11,08e5ad8dcf96fa2e9936cf2419f0cd5ef7fa6c81da9a38fbec6a572c27aca34c
2112016,GARY JOHNSON ,LIB,2,2016,11,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
3112016,JOHNNY ISAKSON (I) ,REP,3,2016,11,fdb13ab7505be16a2ad25cb94d9a448bbdf35511ddcbc7405d15e2f9bcf8b8f2
3112016,JIM BARKSDALE ,DEM,3,2016,11,361565da1fa79e975a662ad464f678b6d32743ef2ef248123b39354801631470
3112016,ALLEN BUCKLEY ,LIB,3,2016,11,69098c7dc92c43f69ffb899ad095f0c14cda624ed50ed1e67361bb0c1e4d3d31
4112016,TIM ECHOLS (I) ,REP,4,2016,11,9563b530805b8e59b46fe2492b228a3f93fe1ceae330ba98ca80ec18d3a8396e
4112016,ERIC HOSKINS ,LIB,4,2016,11,89d97757c0c1e664c32e8822b618055de354692086995d36385fdecaf58ada69
5112016,EARL 'BUDDY' CARTER (I) ,REP,5,2016,11,91b95ec0c9eef078447afcb79a7748ad35bd7260822cf9e039bf2289a7baf0e7
6112016,GREG DUKE ,REP,6,2016,11,5a7b3828d75e787a612a115351b887fc92af2557b8499da0870178d53014bd95
6112016,SANFORD BISHOP (I) ,DEM,6,2016,11,e1d8a38e074337775565bdb78b5c22794feb548ee246c1dc77e5f0f5ad2612ff
7112016,DREW FERGUSON ,REP,7,2016,11,dd1c98d08ed467f11cf8884a6e5b8ef5915f69a2a3d11aadf0200b4fb2b3c898
7112016,ANGELA PENDLEY ,DEM,7,2016,11,1f1cf050b9f978935c1fd7e43335ad924d9193a40a6f914a49ed71db5bb3d583
8112016,VICTOR ARMENDARIZ ,REP,8,2016,11,a7d811379bfac3e7ea689a17e37c0e5b6c233582b4e3383fa96328613574bb24
8112016,HENRY C 'HANK' JOHNSON JR (I) ,DEM,8,2016,11,09a6928fddfbbae0bcf13495264c26c21974f9608ec0372411f81074ca82e746
9112016,DOUGLAS BELL ,REP,9,2016,11,69a538b9569759712f55ef6ee1400d021280fe04876f694122e5d317e5a81d3a
9112016,JOHN R. LEWIS (I) ,DEM,9,2016,11,78a3bbf5368dbd9afd1e1eccf54333b9d9a9b2d4932a9171629a85b1255d0abd
10112016,TOM PRICE (I) ,REP,10,2016,11,d08b2c8cdc10385b8afa5900092174a7dc2326fd52663a517646f4867258c869
10112016,RODNEY STOOKSBURY ,DEM,10,2016,11,24148a91b7828500a0af7667d9a185b67be2f52019550de6774cd5441d408ee6
11112016,ROB WOODALL (I) ,REP,11,2016,11,785da998100a262984ea26fe53554f17d7301f0943fae6fd1171a209be8864b7
11112016,RASHID MALIK ,DEM,11,2016,11,d692eb5362b94d1173869a609a64b5966018290a74f4d5341ae8f5135db4427b
12112016,AUSTIN SCOTT (I) ,REP,12,2016,11,cf942ce49597a69ddf52039144af020824af3b99cd48953a11a768a2b9df5ca0
12112016,JAMES NEAL HARRIS ,DEM,12,2016,11,ffc04b653014135d946ebc550d1d861a077fcb4b4322d029d0b60adab5decc84
13112016,DOUG COLLINS (I) ,REP,13,2016,11,3bb7f9202a8b0fa3cf0cfc0664154c5b68d2dcee1c5e67d5c7151d336ff27acb
14112016,JODY HICE (I) ,REP,14,2016,11,4e59a47cded907a0ee0d5754da3a32bcc4fbc0dbab856ba7396e6e076b486248
15112016,BARRY LOUDERMILK (I) ,REP,15,2016,11,bdcda51984006d871b1581b4dc2eb1bff3a578941a63b68fe423871731f09d50
15112016,DON WILSON ,DEM,15,2016,11,52f4e6b4bf78b730ca12579f8d1355ee1314d0247993b86515270feee199f620
16112016,RICK ALLEN (I) ,REP,16,2016,11,e0582b77c5f050627aa2e1faf516ac6068be69cdcc79a5e71790a882255d30b5
16112016,PATRICIA C. MCCRACKEN ,DEM,16,2016,11,9eb62e0cf369a706f845757cdebc7b5b5171073462e28f06687d64299f46b22a
17112016,DAVID SCOTT (I) ,DEM,17,2016,11,dd3dde7dda393cf6be441bf02d5b410681fe94539d7a19f1aa0227e32c49ccbd
18112016,TOM GRAVES (I) ,REP,18,2016,11,d45b767c509f35d96953cd17a4e6c8d2a64992aa0d6fb583daa0253abae21829
19112016,BEN WATSON (I) ,REP,19,2016,11,b4b1610d77279c915def511f129df0dabe70c3fcb4583ac11c37fc59206c33e4
20112016,LESTER JACKSON (I) ,DEM,20,2016,11,d7837ab7823ec849bae2e0679c31b106bd58e5e292c197ff35cc108160acda89
21112016,WILLIAM LIGON JR (I) ,REP,21,2016,11,ca5f2b3705998bdc02d660542ce3bb2a28bf59c1348ce6213eed8d09474b26d2
22112016,JACK HILL (I) ,REP,22,2016,11,667f2eecf018df6dfa72377d49d1830df2b0e482d945678f956bfaf401f41999
23112016,CURT THOMPSON (I) ,DEM,23,2016,11,fee3ec94c903ce5c3e5bfdf93f3f05540036e356fc6ae166d00d269a40ab8105
24112016,HUNTER HILL (I) ,REP,24,2016,11,290847bfca66eba70223381554e191f00b0f41d91260c5c97cffec6ba75958a7
24112016,JAHA HOWARD ,DEM,24,2016,11,2f0f4d5a7d92cb6112a3b0728bdeac0336f5520c78a86419b4d253959f1ee507
25112016,TYLER HARPER (I) ,REP,25,2016,11,412d62988cd233e380a468f9cf3c88822ed65b2700daa1c200e4dceab9e48d2f
26112016,ELLIS BLACK (I) ,REP,26,2016,11,0ef470bbade1f8753d6e203535408132dfb6333f78601c21c1dcacf12d3cbbe9
26112016,GREGORY WILLIAMS ,DEM,26,2016,11,85326a93a6b78336855e7b009b3e5080242f394e86dcf3476b4d1ef42a8111ed
27112016,P. K. MARTIN (I) ,REP,27,2016,11,f17376585144fa3c04fde01b1995650ea68ecaf2a0a2a59c919b139d146aee43
