census_id,county_fips_code,year,aggrp,race,gender,population
0,1,2016,18-24,white,male,519
1,1,2016,18-24,white,female,436
2,1,2016,18-24,black,male,210
3,1,2016,18-24,black,female,155
4,1,2016,18-24,asia-pi,male,5
5,1,2016,18-24,asia-pi,female,6
6,1,2016,18-24,hisp-lt,male,112
7,1,2016,18-24,hisp-lt,female,76
8,1,2016,18-24,native-am,male,3
9,1,2016,18-24,native-am,female,1
10,1,2016,18-24,other,male,15
11,1,2016,18-24,other,female,12
12,1,2016,25-29,white,male,380
13,1,2016,25-29,white,female,367
14,1,2016,25-29,black,male,138
15,1,2016,25-29,black,female,88
16,1,2016,25-29,asia-pi,male,2
17,1,2016,25-29,asia-pi,female,1
18,1,2016,25-29,hisp-lt,male,79
19,1,2016,25-29,hisp-lt,female,83
20,1,2016,25-29,native-am,male,2
21,1,2016,25-29,native-am,female,1
22,1,2016,25-29,other,male,0
23,1,2016,25-29,other,female,8
24,1,2016,30-34,white,male,318
25,1,2016,30-34,white,female,387
26,1,2016,30-34,black,male,103
27,1,2016,30-34,black,female,90
28,1,2016,30-34,asia-pi,male,3
29,1,2016,30-34,asia-pi,female,2
30,1,2016,30-34,hisp-lt,male,99
31,1,2016,30-34,hisp-lt,female,46
32,1,2016,30-34,native-am,male,2
33,1,2016,30-34,native-am,female,1
34,1,2016,30-34,other,male,2
35,1,2016,30-34,other,female,0
36,1,2016,35-39,white,male,352
37,1,2016,35-39,white,female,387
38,1,2016,35-39,black,male,99
39,1,2016,35-39,black,female,100
40,1,2016,35-39,asia-pi,male,2
41,1,2016,35-39,asia-pi,female,6
42,1,2016,35-39,hisp-lt,male,91
43,1,2016,35-39,hisp-lt,female,52
44,1,2016,35-39,native-am,male,1
45,1,2016,35-39,native-am,female,3
46,1,2016,35-39,other,male,1
47,1,2016,35-39,other,female,3
48,1,2016,40-44,white,male,373
49,1,2016,40-44,white,female,370
50,1,2016,40-44,black,male,96
51,1,2016,40-44,black,female,136
52,1,2016,40-44,asia-pi,male,4
53,1,2016,40-44,asia-pi,female,4
54,1,2016,40-44,hisp-lt,male,49
55,1,2016,40-44,hisp-lt,female,51
56,1,2016,40-44,native-am,male,4
57,1,2016,40-44,native-am,female,0
58,1,2016,40-44,other,male,2
59,1,2016,40-44,other,female,4
60,1,2016,45-49,white,male,394
61,1,2016,45-49,white,female,420
62,1,2016,45-49,black,male,116
63,1,2016,45-49,black,female,91
64,1,2016,45-49,asia-pi,male,4
65,1,2016,45-49,asia-pi,female,5
66,1,2016,45-49,hisp-lt,male,66
67,1,2016,45-49,hisp-lt,female,38
68,1,2016,45-49,native-am,male,3
69,1,2016,45-49,native-am,female,3
70,1,2016,45-49,other,male,1
71,1,2016,45-49,other,female,1
72,1,2016,50-54,white,male,439
73,1,2016,50-54,white,female,466
74,1,2016,50-54,black,male,114
75,1,2016,50-54,black,female,106
76,1,2016,50-54,asia-pi,male,9
77,1,2016,50-54,asia-pi,female,6
78,1,2016,50-54,hisp-lt,male,38
79,1,2016,50-54,hisp-lt,female,21
80,1,2016,50-54,native-am,male,2
81,1,2016,50-54,native-am,female,1
82,1,2016,50-54,other,male,2
83,1,2016,50-54,other,female,3
84,1,2016,55-59,white,male,498
85,1,2016,55-59,white,female,526
86,1,2016,55-59,black,male,119
87,1,2016,55-59,black,female,105
88,1,2016,55-59,asia-pi,male,2
89,1,2016,55-59,asia-pi,female,4
90,1,2016,55-59,hisp-lt,male,32
91,1,2016,55-59,hisp-lt,female,13
92,1,2016,55-59,native-am,male,2
93,1,2016,55-59,native-am,female,4
94,1,2016,55-59,other,male,4
95,1,2016,55-59,other,female,2
96,1,2016,60-64,white,male,456
97,1,2016,60-64,white,female,462
98,1,2016,60-64,black,male,85
99,1,2016,60-64,black,female,112
100,1,2016,60-64,asia-pi,male,2
101,1,2016,60-64,asia-pi,female,6
102,1,2016,60-64,hisp-lt,male,19
103,1,2016,60-64,hisp-lt,female,15
104,1,2016,60-64,native-am,male,0
105,1,2016,60-64,native-am,female,2
106,1,2016,60-64,other,male,1
107,1,2016,60-64,other,female,2
108,1,2016,65+,white,male,1147
109,1,2016,65+,white,female,1389
110,1,2016,65+,black,male,192
111,1,2016,65+,black,female,257
112,1,2016,65+,asia-pi,male,10
113,1,2016,65+,asia-pi,female,12
114,1,2016,65+,hisp-lt,male,28
115,1,2016,65+,hisp-lt,female,25
116,1,2016,65+,native-am,male,6
117,1,2016,65+,native-am,female,3
118,1,2016,65+,other,male,17
119,1,2016,65+,other,female,5
120,3,2016,18-24,white,male,196
121,3,2016,18-24,white,female,195
122,3,2016,18-24,black,male,57
123,3,2016,18-24,black,female,57
124,3,2016,18-24,asia-pi,male,1
125,3,2016,18-24,asia-pi,female,2
126,3,2016,18-24,hisp-lt,male,118
127,3,2016,18-24,hisp-lt,female,125
128,3,2016,18-24,native-am,male,4
129,3,2016,18-24,native-am,female,0
130,3,2016,18-24,other,male,5
131,3,2016,18-24,other,female,7
132,3,2016,25-29,white,male,145
133,3,2016,25-29,white,female,149
134,3,2016,25-29,black,male,52
135,3,2016,25-29,black,female,38
136,3,2016,25-29,asia-pi,male,1
137,3,2016,25-29,asia-pi,female,0
138,3,2016,25-29,hisp-lt,male,102
139,3,2016,25-29,hisp-lt,female,62
140,3,2016,25-29,native-am,male,3
141,3,2016,25-29,native-am,female,0
142,3,2016,25-29,other,male,1
143,3,2016,25-29,other,female,2
144,3,2016,30-34,white,male,118
145,3,2016,30-34,white,female,139
146,3,2016,30-34,black,male,27
147,3,2016,30-34,black,female,30
148,3,2016,30-34,asia-pi,male,1
149,3,2016,30-34,asia-pi,female,1
150,3,2016,30-34,hisp-lt,male,90
151,3,2016,30-34,hisp-lt,female,57
152,3,2016,30-34,native-am,male,1
153,3,2016,30-34,native-am,female,2
154,3,2016,30-34,other,male,1
155,3,2016,30-34,other,female,2
156,3,2016,35-39,white,male,153
157,3,2016,35-39,white,female,165
158,3,2016,35-39,black,male,33
159,3,2016,35-39,black,female,46
160,3,2016,35-39,asia-pi,male,2
161,3,2016,35-39,asia-pi,female,0
162,3,2016,35-39,hisp-lt,male,77
163,3,2016,35-39,hisp-lt,female,61
164,3,2016,35-39,native-am,male,1
165,3,2016,35-39,native-am,female,0
166,3,2016,35-39,other,male,2
167,3,2016,35-39,other,female,0
168,3,2016,40-44,white,male,145
169,3,2016,40-44,white,female,144
170,3,2016,40-44,black,male,35
171,3,2016,40-44,black,female,40
172,3,2016,40-44,asia-pi,male,1
173,3,2016,40-44,asia-pi,female,1
174,3,2016,40-44,hisp-lt,male,91
175,3,2016,40-44,hisp-lt,female,72
176,3,2016,40-44,native-am,male,1
177,3,2016,40-44,native-am,female,0
178,3,2016,40-44,other,male,1
179,3,2016,40-44,other,female,2
180,3,2016,45-49,white,male,175
181,3,2016,45-49,white,female,171
182,3,2016,45-49,black,male,36
183,3,2016,45-49,black,female,38
184,3,2016,45-49,asia-pi,male,2
185,3,2016,45-49,asia-pi,female,0
186,3,2016,45-49,hisp-lt,male,76
187,3,2016,45-49,hisp-lt,female,55
188,3,2016,45-49,native-am,male,5
189,3,2016,45-49,native-am,female,2
190,3,2016,45-49,other,male,3
191,3,2016,45-49,other,female,0
192,3,2016,50-54,white,male,176
193,3,2016,50-54,white,female,173
194,3,2016,50-54,black,male,34
195,3,2016,50-54,black,female,62
196,3,2016,50-54,asia-pi,male,3
197,3,2016,50-54,asia-pi,female,3
198,3,2016,50-54,hisp-lt,male,57
199,3,2016,50-54,hisp-lt,female,19
200,3,2016,50-54,native-am,male,2
201,3,2016,50-54,native-am,female,2
202,3,2016,50-54,other,male,2
203,3,2016,50-54,other,female,2
204,3,2016,55-59,white,male,158
205,3,2016,55-59,white,female,177
206,3,2016,55-59,black,male,53
207,3,2016,55-59,black,female,67
208,3,2016,55-59,asia-pi,male,0
209,3,2016,55-59,asia-pi,female,0
210,3,2016,55-59,hisp-lt,male,46
211,3,2016,55-59,hisp-lt,female,37
212,3,2016,55-59,native-am,male,2
213,3,2016,55-59,native-am,female,1
214,3,2016,55-59,other,male,0
215,3,2016,55-59,other,female,4
216,3,2016,60-64,white,male,151
217,3,2016,60-64,white,female,138
218,3,2016,60-64,black,male,44
219,3,2016,60-64,black,female,46
220,3,2016,60-64,asia-pi,male,0
221,3,2016,60-64,asia-pi,female,1
222,3,2016,60-64,hisp-lt,male,28
223,3,2016,60-64,hisp-lt,female,12
224,3,2016,60-64,native-am,male,1
225,3,2016,60-64,native-am,female,1
226,3,2016,60-64,other,male,0
227,3,2016,60-64,other,female,2
228,3,2016,65+,white,male,372
229,3,2016,65+,white,female,429
230,3,2016,65+,black,male,96
231,3,2016,65+,black,female,95
232,3,2016,65+,asia-pi,male,2
233,3,2016,65+,asia-pi,female,1
234,3,2016,65+,hisp-lt,male,33
235,3,2016,65+,hisp-lt,female,25
236,3,2016,65+,native-am,male,8
237,3,2016,65+,native-am,female,5
238,3,2016,65+,other,male,4
239,3,2016,65+,other,female,8
240,5,2016,18-24,white,male,333
241,5,2016,18-24,white,female,317
242,5,2016,18-24,black,male,110
243,5,2016,18-24,black,female,100
244,5,2016,18-24,asia-pi,male,0
245,5,2016,18-24,asia-pi,female,1
246,5,2016,18-24,hisp-lt,male,57
247,5,2016,18-24,hisp-lt,female,41
248,5,2016,18-24,native-am,male,3
249,5,2016,18-24,native-am,female,2
250,5,2016,18-24,other,male,10
251,5,2016,18-24,other,female,8
252,5,2016,25-29,white,male,251
253,5,2016,25-29,white,female,243
254,5,2016,25-29,black,male,65
255,5,2016,25-29,black,female,79
256,5,2016,25-29,asia-pi,male,0
