county_name,candidate_id,election_day,absentee_by_mail,advance_in_person,provisional,total_votes,result_id
Appling,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2948,362,2182,2,5494,Appling86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Atkinson,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,843,58,972,5,1878,Atkinson86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Bacon,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1142,134,2082,6,3364,Bacon86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Baker,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,396,76,302,1,775,Baker86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Baldwin,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2929,330,4433,5,7697,Baldwin86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Banks,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,3079,195,2858,2,6134,Banks86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Barrow,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,8881,755,11471,1,21108,Barrow86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Bartow,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,15525,1038,13327,21,29911,Bartow86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Ben Hill,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,907,115,2712,5,3739,Ben Hill86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Berrien,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2351,267,2790,14,5422,Berrien86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Bibb,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,12591,1413,9998,41,24043,Bibb86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Bleckley,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1505,136,2076,2,3719,Bleckley86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Brantley,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2510,200,2851,6,5567,Brantley86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Brooks,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1769,156,1754,22,3701,Brooks86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Bryan,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,3899,286,6336,8,10529,Bryan86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Bulloch,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,7334,591,7142,30,15097,Bulloch86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Burke,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2254,256,1981,0,4491,Burke86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Butts,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1769,186,4762,0,6717,Butts86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Calhoun,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,445,44,340,1,830,Calhoun86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Camden,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,4876,608,6813,13,12310,Camden86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Candler,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,567,86,2008,3,2664,Candler86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Carroll,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,13018,901,16070,40,30029,Carroll86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Catoosa,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,6827,460,13573,16,20876,Catoosa86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Charlton,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1220,158,1567,6,2951,Charlton86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Chatham,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,30267,1915,13462,44,45688,Chatham86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Chattahoochee,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,420,34,292,5,751,Chattahoochee86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Chattooga,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,3034,144,3279,5,6462,Chattooga86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Cherokee,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,31540,3546,45545,18,80649,Cherokee86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Clarke,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,5678,939,6079,21,12717,Clarke86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Clay,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,162,36,366,2,566,Clay86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Clayton,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,4119,889,7621,16,12645,Clayton86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Clinch,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,680,56,988,3,1727,Clinch86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
